date,close
11/2/2006,54.7054
11/3/2006,54.8998
11/6/2006,54.762
11/7/2006,55.4423
11/8/2006,55.2945
11/9/2006,55.7756
11/10/2006,55.3878
11/13/2006,55.5128
11/14/2006,55.8094
11/15/2006,56.091
11/16/2006,56.4173
11/17/2006,56.1455
11/20/2006,56.4173
11/21/2006,56.4639
11/22/2006,56.6454
11/24/2006,56.4421
11/27/2006,56.4728
11/28/2006,55.5396
11/29/2006,56.0841
11/30/2006,56.4957
12/1/2006,56.5502
12/4/2006,56.45
12/5/2006,56.9757
12/6/2006,57.0887
12/7/2006,57.1959
12/8/2006,56.8299
12/11/2006,56.9589
12/12/2006,57.0183
12/13/2006,57.2048
12/14/2006,57.0829
12/15/2006,57.7057
12/18/2006,57.6164
12/19/2006,57.1027
12/20/2006,57.3893
12/21/2006,57.3893
12/22/2006,56.8458
12/26/2006,56.5185
12/27/2006,56.9668
12/28/2006,57.2217
12/29/2006,57.1195
1/3/2007,57.2505
1/4/2007,56.7546
1/5/2007,56.7784
1/8/2007,56.586
1/9/2007,56.7367
1/10/2007,56.45
1/11/2007,56.9182
1/12/2007,57.2286
1/16/2007,57.6571
1/17/2007,57.4141
1/18/2007,57.4954
1/19/2007,57.1027
1/22/2007,57.4617
1/23/2007,57.1701
1/24/2007,57.5103
1/25/2007,57.9229
1/26/2007,57.3724
1/29/2007,57.2505
1/30/2007,57.3724
1/31/2007,57.4528
2/1/2007,58.0786
2/2/2007,58.3315
2/5/2007,58.399
2/6/2007,58.5259
2/7/2007,58.5735
2/8/2007,58.392
2/9/2007,58.5259
2/12/2007,58.1599
2/13/2007,57.9169
2/14/2007,58.4516
2/15/2007,58.7867
2/16/2007,58.6717
2/20/2007,58.7689
2/21/2007,58.8561
2/22/2007,59.125
2/23/2007,58.8959
2/26/2007,58.9732
2/27/2007,58.0617
2/28/2007,56.7972
3/1/2007,55.9522
3/2/2007,56.6038
3/5/2007,55.484
3/6/2007,55.849
3/7/2007,56.3687
3/8/2007,56.7546
3/9/2007,57.1027
3/12/2007,56.7158
3/13/2007,56.577
3/14/2007,55.8738
3/15/2007,56.2219
3/16/2007,56.3608
3/19/2007,56.5354
3/20/2007,56.8537
3/21/2007,57.2673
3/22/2007,58.2393
3/23/2007,58.1738
3/26/2007,58.0379
3/27/2007,57.8327
3/28/2007,57.4786
3/29/2007,57.7692
3/30/2007,57.6164
4/2/2007,57.5846
4/3/2007,57.9011
4/4/2007,58.0528
4/5/2007,58.1034
4/9/2007,58.4922
4/10/2007,58.3792
4/11/2007,58.5814
4/12/2007,58.0231
4/13/2007,58.6043
4/16/2007,58.9475
4/17/2007,59.3769
4/18/2007,59.2549
4/19/2007,59.125
4/20/2007,59.7835
4/23/2007,59.8877
4/24/2007,59.8708
4/25/2007,60.1128
4/26/2007,60.2914
4/27/2007,60.1882
4/30/2007,60.331
5/1/2007,59.7409
5/2/2007,59.9591
5/3/2007,60.2992
5/4/2007,60.7635
5/7/2007,60.7466
5/8/2007,60.5839
5/9/2007,60.6653
5/10/2007,60.7892
5/11/2007,60.4074
5/14/2007,60.8289
5/15/2007,60.7149
5/16/2007,60.6979
5/17/2007,60.8755
5/18/2007,61.0382
5/21/2007,61.2762
5/22/2007,61.4963
5/23/2007,61.6719
5/24/2007,61.4697
5/25/2007,61.0154
5/29/2007,61.2246
5/30/2007,60.932
5/31/2007,61.9884
6/1/2007,62.0766
6/4/2007,62.0766
6/5/2007,62.1113
6/6/2007,61.7453
6/7/2007,61.2246
6/8/2007,60.3489
6/11/2007,60.8458
6/12/2007,60.7813
6/13/2007,60.6503
6/14/2007,61.2584
6/15/2007,62.0677
6/18/2007,62.027
6/19/2007,61.8098
6/20/2007,62.1807
6/21/2007,61.1909
6/22/2007,61.2405
6/25/2007,60.6245
6/26/2007,60.6077
6/27/2007,59.8232
6/28/2007,60.7149
6/29/2007,60.9658
7/2/2007,60.6335
7/3/2007,61.4458
7/5/2007,61.6313
7/6/2007,61.6223
7/9/2007,61.9884
7/10/2007,61.5489
7/11/2007,60.9846
7/12/2007,61.6967
7/13/2007,62.3841
7/16/2007,62.5596
7/17/2007,62.5319
7/18/2007,62.0518
7/19/2007,62.6112
7/20/2007,62.5319
7/23/2007,62.1351
7/24/2007,61.6135
7/25/2007,61.307
7/26/2007,60.2318
7/27/2007,59.6843
7/30/2007,58.7867
7/31/2007,59.7577
8/1/2007,58.4248
8/2/2007,58.9901
8/3/2007,59.1746
8/6/2007,57.9705
8/7/2007,58.5011
8/8/2007,59.6675
8/9/2007,59.0754
8/10/2007,57.9071
8/13/2007,59.0833
8/14/2007,58.5011
8/15/2007,57.3546
8/16/2007,56.0523
8/17/2007,58.2879
8/20/2007,58.274
8/21/2007,58.0231
8/22/2007,58.7937
8/23/2007,59.3016
8/24/2007,58.8483
8/27/2007,59.3948
8/28/2007,58.6301
8/29/2007,58.0291
8/30/2007,58.3236
8/31/2007,59.3948
9/4/2007,59.2549
9/5/2007,59.6675
9/6/2007,59.479
9/7/2007,58.8483
9/10/2007,58.9385
9/11/2007,58.7263
9/12/2007,59.1934
9/13/2007,59.5901
9/14/2007,59.3422
9/17/2007,59.606
9/18/2007,59.7577
9/19/2007,61.5797
9/20/2007,61.4963
9/21/2007,61.5123
9/24/2007,61.1453
9/25/2007,60.4778
9/26/2007,61.1909
9/27/2007,61.4191
9/28/2007,61.785
10/1/2007,61.4458
10/2/2007,62.2145
10/3/2007,61.9586
10/4/2007,62.0934
10/5/2007,62.4347
10/8/2007,62.7104
10/9/2007,62.7203
10/10/2007,62.9286
10/11/2007,63.2925
10/12/2007,62.6598
10/15/2007,62.9544
10/16/2007,62.0766
10/17/2007,62.4267
10/18/2007,61.9238
10/19/2007,61.7374
10/22/2007,59.9502
10/23/2007,61.1046
10/24/2007,60.9568
10/25/2007,61.0788
10/26/2007,61.7116
10/29/2007,62.0934
10/30/2007,61.8009
10/31/2007,61.9408
11/1/2007,61.7374
11/2/2007,61.0382
11/5/2007,60.7149
11/6/2007,61.0878
11/7/2007,60.5769
11/8/2007,58.8075
11/9/2007,58.4773
11/12/2007,58.3484
11/13/2007,58.6797
11/14/2007,60.0494
11/15/2007,59.1577
11/16/2007,58.9633
11/19/2007,58.3315
11/20/2007,58.2393
11/21/2007,57.3982
11/23/2007,58.1738
11/26/2007,57.9011
11/27/2007,57.1959
11/28/2007,57.9705
11/29/2007,58.8075
11/30/2007,59.8708
12/3/2007,59.5623
12/4/2007,58.8721
12/5/2007,59.3016
12/6/2007,59.7071
12/7/2007,60.9003
12/10/2007,60.932
12/11/2007,61.2405
12/12/2007,61.4697
12/13/2007,59.7984
12/14/2007,59.4196
12/17/2007,58.8075
12/18/2007,58.6717
12/19/2007,58.7084
12/20/2007,58.8075
12/21/2007,59.6298
12/24/2007,60.0265
12/26/2007,59.8877
12/27/2007,59.8411
12/28/2007,59.7071
12/31/2007,59.2758
1/2/2008,58.8869
1/3/2008,58.1996
1/4/2008,57.4528
1/7/2008,56.8051
1/8/2008,56.8537
1/9/2008,55.719
1/10/2008,55.858
1/11/2008,56.3261
1/14/2008,56.2775
1/15/2008,55.8648
1/16/2008,54.8404
1/17/2008,54.9554
1/18/2008,53.5609
1/22/2008,50.1609
1/23/2008,51.0972
1/24/2008,54.0211
1/25/2008,54.8254
1/28/2008,53.4379
1/29/2008,54.6866
1/30/2008,54.4833
1/31/2008,53.5183
2/1/2008,55.4671
2/4/2008,56.1981
2/5/2008,54.7382
2/6/2008,54.2581
2/7/2008,53.1731
2/8/2008,53.7473
2/11/2008,53.5857
2/12/2008,54.6618
2/13/2008,55.0932
2/14/2008,55.2629
2/15/2008,54.4833
2/19/2008,55.3203
2/20/2008,53.9656
2/21/2008,55.1349
2/22/2008,54.3653
2/25/2008,54.516
2/26/2008,55.0208
2/27/2008,55.4325
2/28/2008,55.2847
2/29/2008,54.6162
3/3/2008,53.6224
3/4/2008,53.2921
3/5/2008,53.7225
3/6/2008,53.5361
3/7/2008,52.1654
3/10/2008,52.206
3/11/2008,52.5879
3/12/2008,53.2921
3/13/2008,51.8073
3/14/2008,53.3824
3/17/2008,50.7749
3/18/2008,52.333
3/19/2008,53.8108
3/20/2008,52.7238
3/24/2008,53.6224
3/25/2008,54.0786
3/26/2008,54.03
3/27/2008,53.8792
3/28/2008,53.4379
3/31/2008,52.8061
4/1/2008,53.8019
4/2/2008,55.0357
4/3/2008,54.6618
4/4/2008,55.1171
4/7/2008,55.5128
4/8/2008,54.7996
4/9/2008,55.0298
4/10/2008,54.4555
4/11/2008,54.2085
4/14/2008,53.6135
4/15/2008,53.7811
4/16/2008,54.1857
4/17/2008,54.8472
4/18/2008,55.8956
4/21/2008,55.6278
4/22/2008,55.6199
4/23/2008,55.5128
4/24/2008,55.5634
4/25/2008,56.0593
4/28/2008,56.3092
4/29/2008,56.1059
4/30/2008,56.1237
5/1/2008,55.725
5/2/2008,57.2505
5/5/2008,56.7634
5/6/2008,56.3757
5/7/2008,57.0639
5/8/2008,56.334
5/9/2008,55.84
5/12/2008,56.2061
5/13/2008,56.8458
5/14/2008,57.0233
5/15/2008,56.9847
5/16/2008,57.7285
5/19/2008,57.7206
5/20/2008,57.4786
5/21/2008,57.3456
5/22/2008,56.3995
5/23/2008,56.1713
5/27/2008,55.7924
5/28/2008,56.3509
5/29/2008,56.3995
5/30/2008,56.9341
6/2/2008,56.7634
6/3/2008,56.586
6/4/2008,55.97
6/5/2008,56.3509
6/6/2008,56.7704
6/9/2008,55.7656
6/10/2008,55.2479
6/11/2008,55.2945
6/12/2008,54.7918
6/13/2008,54.9336
6/16/2008,55.1607
6/17/2008,55.849
6/18/2008,54.995
6/19/2008,54.6965
6/20/2008,54.5091
6/23/2008,54.2968
6/24/2008,53.5123
6/25/2008,53.5857
6/26/2008,53.2921
6/27/2008,52.206
6/30/2008,52.1098
7/1/2008,51.4999
7/2/2008,52.3668
7/3/2008,51.484
7/7/2008,51.3204
7/8/2008,50.5864
7/9/2008,51.6635
7/10/2008,50.5518
7/11/2008,50.2502
7/14/2008,51.0566
7/15/2008,49.4409
7/16/2008,49.433
7/17/2008,50.9365
7/18/2008,51.367
7/21/2008,51.492
7/22/2008,50.9871
7/23/2008,52.101
7/24/2008,52.3202
7/25/2008,51.2152
7/28/2008,51.4186
7/29/2008,50.5012
7/30/2008,51.7567
7/31/2008,51.8569
8/1/2008,51.7985
8/4/2008,51.4096
8/5/2008,51.3006
8/6/2008,52.1336
8/7/2008,52.1892
8/8/2008,51.606
